op;codEntrada;codSaida;descricao;cliente;beneficiamento;setor;pesoUnitario;unidade;valorUnitario
1817;PF0P30630-TSU1;SER000281;M12-1.25(6H) PORCA CIL SOLDA 8 SD;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR + CENTRIFUGAÇÃO - RM;RM - DECAPAR;33;KG;24,61
1826;PF0P30656-TSU1;SER000281;7/16-20 UNF-2BX12 8SD;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR + CENTRIFUGAÇÃO - RM;RM - DECAPAR;23,2;KG;16,51
1831;PF0P30660-TSU1;SER000281;M8-1.25 PORCA CIL SOLDA 8 SD;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR + CENTRIFUGAÇÃO - RM;RM - DECAPAR;13,2;KG;12,82
1835;PF0P30661-TSU1;SER000281;M6-1.0(6H) PORCA SEXT. SOLDA;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR + CENTRIFUGAÇÃO - RM;RM - DECAPAR;4,65;KG;29,88
1840;PF0P30666-TSU1;SER000281;M6 - 1.0 (6H) SEXT SOLDA 8SD;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR - RM;RM - DECAPAR;5;KG;3,56
1845;PF0P30669-TSU1;SER000281;M6-1,0-6H PORCA SX FL 8 ZN IRI T;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;3,7;KG;6,49
1896;PF0P30710-TSU1;SER000281;PORCA SEXT. FLAN SOLDA M8 X 1.25;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR - RM;RM - DECAPAR;12,45;KG;8,75
1901;PF0P30712-TSU1;SER000281;M12X1,75 6H PORCA SEXT FL SOLDA;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR - RM;RM - DECAPAR;32,7;KG;23,28
1906;PF0P30722-TSU1;SER000281;M10-1,25(6H) SEXT FL 10;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN IRIDESCENTE TRIVALENTE + DSH - RA1;ROTATIVO I;13,6;KG;35,54
1970;PF0P30836-TSU1;SER000281;M8-1.25X7.0 (6H) PORCA SX SOLDA 8;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR + CENTRIFUGAÇÃO - RM;RM - DECAPAR;8,7;KG;6,33
1974;PF0P30837-TSU1;SER000281;PORCA SX. SOLDA M10-1.25(6H) 8 SD;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR - RM;RM - DECAPAR;11,93;KG;8,41
2005;PF0P30976-TSU1;SER000281;M8X1.25X9.0 BUCHA CILINDRICA SOLD;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR - RM;RM - DECAPAR;14,2;KG;10,13
2013;PF0P30981-TSU1;SER000281;M-10-1,50X17,4(6H) 8 SEXT FL SOLD;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR - RM;RM - DECAPAR;13,55;KG;11,67
2042;PF0P31023-TSU1;SER000281;P31023 M 12-1.75 X 13.5 (6H) PORC;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR - RM;RM - DECAPAR;27,6;KG;18,51
2078;PF0P31065-TSU1;SER000281;M61.0 PORCA SEXT LIMP C ARR;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZINKLAD PRATA IRID + SELANTE  - RA1;ROTATIVO I;2,42;KG;16,58
2087;PF0P31079-TSU1;SER000281;M8-1.25(6H) CIL SOLDA;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR - RM;RM - DECAPAR;13,3;KG;10,16
2091;PF0P31083-TSU1;SER000281;M6.10 SEXT SOLDA;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR + CENTRIFUGAÇÃO - RM;RM - DECAPAR;6,3;KG;4,48
2109;PF0P31107-TSU1;SER000281;M6X1.06H SX LISA ESPECIAL;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN IRIDESCENTE TRIVALENTE + SELANTE - RA1;ROTATIVO I;3,55;KG;9,87
2114;PF0P31110-TSU1;SER000281;M6X1,0-6H SX LISA;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN IRIDESCENTE TRIVALENTE + SELANTE - RA1;ROTATIVO I;1,5;KG;4,24
2137;PF0P31144-TSU1;SER000281;M8-1,25 6H PORCA SX FL STOVER;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;4,4;KG;8,9
2169;PF0P31174-TSU1;SER000281;M6.1.0X7 PÓRCA SEXT FLANG SD;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR - RM;RM - DECAPAR;5,75;KG;4,48
2179;PF0P31189-TSU1;SER000281;BLANK PORCA SOLDA CILINDRICA M6;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR - RM;RM - DECAPAR;5,32;KG;5,35
2187;PF0P31192-TSU1;SER000281;M20-1.5 (6H) X 11.5 PORC SEX SOLD;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR - RM;RM - DECAPAR;42,2;KG;30,07
2192;PF0P31194-TSU1;SER000281;M12-1.5(6H) X 12.0 PORCA QUAD SOL;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR - RM;RM - DECAPAR;22;KG;15,66
2202;PF0P31206-TSU1;SER000281;M 12X1.75-15.0 (6E) 10 PORCA SOLD;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;OLEAR - RM;RM - DECAPAR;31;KG;19,86
2207;PF0P31208-TSU1;SER000281;PORCA SX FL 10X1.5 (6H) OL;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR - RM;RM - DECAPAR;16,4;KG;11,67
2211;PF0P31213-TSU1;SER000281;PORCA SEXTAVADA M10-1.0 X 10.0;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;OLEAR - RM;RM - DECAPAR;11,3;KG;4,38
2214;PF0P31215-TSU1;SER000281;PORCA M8-1,25 SX FL;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN NIQUEL INCOLOR + SELANTE + TORQUE - RA2;ROTATIVO II;18,7;KG;94,31
2221;PF0P31218-TSU1;SER000281;PORCA M9-1.0SX FL;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN NIQUEL PRETO + SELANTE + TORQUE - RA2;ROTATIVO II;8,3;KG;68,06
2226;PF0P31219-TSU1;SER000281;PORCA M6-1.0 SX FL;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN NIQUEL INCOLOR + SELANTE + TORQUE - RA2;ROTATIVO II;9,7;KG;50,82
2232;PF0P31224-TSU1;SER000281;M6-1.00X7.0(6H) PORCA SX SOLD;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR - RM;RM - DECAPAR;5,65;KG;2,93
2234;PF0P31225-TSU1;SER000281;PORCA SEXT;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;OLEAR - RM;RM - DECAPAR;5,05;KG;5,26
2238;PF0P31226-TSU1;SER000281;PORCA M16X1.5 SX C;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;17,7;KG;35,84
2242;PF0P31228-TSU1;SER000281;BLANK PORCA SOLDA M6;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR - RM;RM - DECAPAR;5,8;KG;2,93
2258;PF0P31239-TSU1;SER000281;M10-1.50X13 (6H) PORCA SOLDA 8 SD;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR - RM;RM - DECAPAR;22,65;KG;32,6
2262;PF0P31246-TSU1;SER000281;BUCHA M10X1.5 SX FL;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR - RM;RM - DECAPAR;21,35;KG;16,16
2266;PF0P31247-TSU1;SER000281;M6.1 6H PORCA SEXT FLAN TRAVA STO;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZINKLAD PRATA IRID + SELANTE  - RA1;ROTATIVO I;3,7;KG;11,81
2270;PF0P31253-TSU1;SER000281;M10X1.5 6H PORCA SEXT C/ARR;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN NIQUEL PRETO + SELANTE - RA2;ROTATIVO II;10,55;KG;117,48
2282;PF0P31280-TSU1;SER200011;M8-1,25 PORCA CIL SOLDA;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR + CENTRIFUGAÇÃO - RM;RM - DECAPAR;13;KG;9,27
2299;PF0P31316-TSU1;SER200012;M5X0.80 6G QUADRADA SOLDA;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR - RM;RM - DECAPAR;2,1;KG;1,5
2307;PF0P31318-TSU1;SER000281;M6X1.0-6G QUADRADA;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR - RM;RM - DECAPAR;2,95;KG;2,31
2327;PF0P31322-TSU1;SER000281;M14-2.0 PORCA SEXT FLANGE;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;OLEAR - RM;RM - DECAPAR;31,3;KG;11,53
2330;PF0P31323-TSU1;SER000281;M12.1.75X15 PORCA SEXT FL COLAR;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR - RM;RM - DECAPAR;24,55;KG;19,53
2339;PF0P31527-TSU1;SER000281;M8.1.25 PORCA SOLDA QUAD;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;OLEAR - RM;RM - DECAPAR;7,2;KG;51,96
2343;PF0P31678-TSU1;SER000281;BUCHA SX FL SOLD 10X22;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;OLEAR - RM;RM - DECAPAR;12,45;KG;9,4
2347;PF0P31680-TSU1;SER000281;M14.15X17.0 PORCA SX FL;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR - RM;RM - DECAPAR;43,9;KG;32,6
2356;PF0P32092-TSU1;SER000281;M10-1.25X8.0 PORCA SEXTAVADA OLEA;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;OLEAR - RM;RM - DECAPAR;10,05;KG;4,32
2360;PF0P32107-TSU1;SER000281;M6X1.06H SX LISA ESPECIAL;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN INCOLOR TRIVALENTE + SELANTE - RA1;ROTATIVO I;3,5;KG;9,87
2364;PF0P32222-TSU1;SER000281;M8.125X7.0 PORCA SX SOLDA 85D;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR + CENTRIFUGAÇÃO - RM;RM - DECAPAR;8,7;KG;7,32
2368;PF0P32236-TSU1;SER000281;M6.1 PORCA SEXT FLAN 8 MAGNI 560;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN INCOLOR TRIVALENTE - RA1;ROTATIVO I;3,6;KG;6,73
2392;PF0P33113-TSU1;SER000281;M6X1.0-6H SEXT FL P31103 P31113;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN INCOLOR TRIVALENTE + SELANTE - RA1;ROTATIVO I;3,2;KG;9,02
2397;PF0P33222-TSU1;SER000281;M12-1.75(6H)PORCA SX STOVER 8 FOS;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;FOSFATO DE ZINCO OLEADO;FOSFATO;15;KG;12,45
2409;PF0P36024-TSU1;SER000281;PORCA CIL SOLDA M12X1.75;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR - RM;RM - DECAPAR;26,5;KG;18,86
2418;PF0P36028-TSU1;SER000281;M12X1.75 PORCA SEXT FL STOVER CL;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN INCOLOR TRIVALENTE - RA1;ROTATIVO I;16,05;KG;30,67
2421;PF0P36030-TSU1;SER000281;BUCHA CILINDRICA 10.00X6.50X4.00;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN IRIDESCENTE TRIVALENTE + SELANTE - RA1;ROTATIVO I;1,4;KG;2,84
2426;PF0P36031-TSU1;SER000281;PORCA CIL M8.1.25;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR - RM;RM - DECAPAR;18,05;KG;13,59
2431;PF0P36033-TSU1;SER000281;M8-1.25 PORCA CIL SOLDA 8 SD;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR + CENTRIFUGAÇÃO - RM;RM - DECAPAR;27,4;KG;19,49
2441;PF0P36037-TSU1;SER000281;M6X1.0 PORCA SEXT FL;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN IRIDESCENTE TRIVALENTE + SELANTE - RA1;ROTATIVO I;3,2;KG;9,02
2446;PF0P36041-TSU1;SER000281;PORCA M12.1.75 SEXT FLAN NYL;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN INCOLOR TRIVALENTE - RA1;ROTATIVO I;23,5;KG;42,39
2450;PF0P36043-TSU1;SER000281;M8X1.25.6G PORCA CIL SOLDA;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN INCOLOR TRIVALENTE - RA1;ROTATIVO I;13,7;KG;23,8
2454;PF0P36045-TSU1;SER000281;M5.0.8 PORCA SEXT FL NYLON;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN NIQUEL INCOLOR + SELANTE + TORQUE - RA2;ROTATIVO II;2;KG;16,26
2463;PF0P36048-TSU1;SER000281;M10.1.5 PORCA QUAD SOLDA;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR - RM;RM - DECAPAR;16,7;KG;12,1
2471;PF0P36050-TSU1;SER000281;M10.1.5 PORCA SEXT FLG SOLDA;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR - RM;RM - DECAPAR;13,55;KG;9,4
2501;PF0P36063-TSU1;SER000281;M6.1.0 PO SX FLG;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN NIQUEL PRETO + SELANTE - RA2;ROTATIVO II;3,7;KG;24,58
2510;PF0P36067-TSU1;SER000281;PORCA SEXT. FLAN. NYL M10X1,25(6H;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN INCOLOR TRIVALENTE - RA1;ROTATIVO I;15;KG;30,07
2518;PF0P36070-TSU1;SER000281;M14X1.0X 8.0(6H) PORCA SEXT FL;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR - RM;RM - DECAPAR;12,4;KG;8,84
2522;PF0P36071-TSU1;SER000281;M12.1.25X14.5 PORCA SX SOLDA 8SD;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR - RM;RM - DECAPAR;32,14;KG;23,48
2527;PF0P36072-TSU1;SER000281;M12.1.25 SEXT C ARR E NYLON;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN NIQUEL INCOLOR + DSH + SELANTE - RA2;ROTATIVO II;16,01;KG;210,68
2530;PF0P36074-TSU1;SER000281;M8X1.25.6H PORCA SEXT LISA;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR - RM;RM - DECAPAR;3,75;KG;3,34
2534;PF0P36075-TSU1;SER000281;BUCHA CILINDRICA M6.10;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR - RM;RM - DECAPAR;4,65;KG;3,71
2539;PF0P36076-TSU1;SER000281;PORCA CILINDRICA M81.25;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR - RM;RM - DECAPAR;18,4;KG;13,09
2550;PF0P36082-TSU1;SER000281;M6-1.00 PORCA SX FLANGE 8 ZNNI;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN NIQUEL INCOLOR + SELANTE + TORQUE - RA2;ROTATIVO II;4,5;KG;25,23
2554;PF0P36083-TSU1;SER000281;M8-1,25X8.4 PO QUAD SOLDA 10 ZN;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN INCOLOR TRIVALENTE - RA1;ROTATIVO I;9,5;KG;17,14
2557;PF0P36084-TSU1;SER000281;M8-1.25X10.0 PO SX FLANGE SOLDA Z;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN INCOLOR TRIVALENTE - RA1;ROTATIVO I;12,4;KG;24,71
2562;PF0P36085-TSU1;SER000281;M10-1.50X13.0 PO SX FLANGE SOLDA;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN INCOLOR TRIVALENTE + DSH - RA1;ROTATIVO I;22,05;KG;56,48
2567;PF0P36089-TSU1;SER000281;M8-1.25X8.0 PORCA SX FLANGE 10 ZN;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN PRETO + DSH + SELANTE - RA2;ROTATIVO II;7;KG;14,15
2570;PF0P36090-TSU1;SER200011;M6-1.00X5.5 PO QUAD SOLDA 8SD OLE;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;OLEAR - RM;RM - DECAPAR;3,6;KG;1,32
2576;PF0P36092-TSU1;SER000281;M12-1.50X16.2 PORCA SX FLANGE NYL;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN NIQUEL INCOLOR + DSH + SELANTE - RA2;ROTATIVO II;22,68;KG;148,46
2579;PF0P36093-TSU1;SER000281;M14-1.50X13.7 6H PORCA SX FLANGE;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN NIQUEL INCOLOR + DSH + SELANTE - RA2;ROTATIVO II;28;KG;166,28
2584;PF0P36094-TSU1;SER000281;M12-1.25X12 PORCA SX FLANGE TR ST;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN NIQUEL INCOLOR + DSH + SELANTE - RA2;ROTATIVO II;18,9;KG;112,24
2589;PF0P36095-TSU1;SER000281;M5-0.8 PORCA SEXT FL SOLDA 8 SD;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR + CENTRIFUGAÇÃO - RM;RM - DECAPAR;3,1;KG;2,31
2594;PF0P36096-TSU1;SER200011;M8-1.25X8.7 PORCA CILIN SOLDA 8 S;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR - RM;RM - DECAPAR;13;KG;12,82
2614;PF0P40228-TSU1;SER000281;ST4,2-1,4X19C PAN PZ;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN FERRO PRETO + DSH + SELANTE - RA2;ROTATIVO II;2;KG;8,18
2621;PF0P40371-TSU1;SER000281;M6-1,0X22SEXT ZINCO PRETO;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN FERRO PRETO + SELANTE - RA2;ROTATIVO II;6,4;KG;21,66
2626;PF0P40373-TSU1;SER000281;M5-0.8X16 SEXT;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN FERRO PRETO + SELANTE - RA2;ROTATIVO II;3,4;KG;11,52
2644;PF0P40504-TSU1;SER000281;HLM3.5-2X12 LT POZ ZINCO FERRO;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN FERRO PRETO + DSH + SELANTE - RA2;ROTATIVO II;0,7;KG;2,91
2649;PF0P40510-TSU1;SER200056;HLM4-1.25X9.5 LT POZ;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN IRIDESCENTE TRIVALENTE + DSH - RA1;ROTATIVO I;1;KG;2,61
2654;PF0P40518-TSU1;SER000281;M6-1.0X16 CIL R50 SD STAB OL;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR + CENTRIFUGAÇÃO - RM;RM - DECAPAR;5,6;KG;4,25
2662;PF0P40529-TSU1;SER000281;M6-1.0X18 SX ARR FOSF;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;FOSFATO DE ZINCO OLEADO;FOSFATO;7,2;KG;7,51
2667;PF0P40538-TSU1;SER000281;M6-10X20 SD 4.8 DECA;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR - RM;RM - DECAPAR;6,3;KG;4,48
2671;PF0P40540-TSU1;SER000281;ST4,8-1,6X22C PAN;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN FERRO PRETO + DSH + SELANTE - RA2;ROTATIVO II;3,1;KG;12,54
2678;PF0P40734-TSU1;SER000281;M6.1.00X30.0 SX FL PT PIL;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN IRIDESCENTE TRIVALENTE + SELANTE - RA1;ROTATIVO I;9;KG;39,18
2687;PF0P40894-TSU1;SER000281;5-1.6X16 CIL SOLDA R50 SD STAB C;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;COBREAGEM - RM;RM - COBRE;1,9;KG;3,43
2692;PF0P40930-TSU1;SER000281;M6- 1,00 X 20,0 PAN TORX PLUS ZNF;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN FERRO PRETO + SELANTE - RA2;ROTATIVO II;7,1;KG;24,05
2712;PF0P41043-TSU1;SER000281;PA PT5.0.1.80X18 SEXT COLAR;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN NIQUEL PRETO + DSH + SELANTE - RA2;ROTATIVO II;4,25;KG;35,93
2716;PF0P41126-TSU1;SER000281;ST4,2-1,4X25C PAN POZ;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN FERRO PRETO + DSH + SELANTE - RA2;ROTATIVO II;2,5;KG;9,45
2720;PF0P41139-TSU1;SER000281;B7.1.2.25X9.5 OV REB DECA OL;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR - RM;RM - DECAPAR;2,29;KG;1,64
2729;PF0P41356-TSU1;SER000281;M6-1,0X16 SX 5.8 ARR;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN IRIDESCENTE TRIVALENTE + DSH - RA1;ROTATIVO I;5,59;KG;14,59
2759;PF0P42352-TSU1;SER000281;M6-1,0X25 SD 5.8 DECA OL;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR - RM;RM - DECAPAR;6,35;KG;4,54
2768;PF0P42493-TSU1;SER000281;M6-1,0X18 CIL QD 5.8;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;4,18;KG;8,47
2772;PF0P42558-TSU1;SER000281;ST6,2-2 65X19F SX END;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN NIQUEL PRETO + DSH + SELANTE - RA2;ROTATIVO II;4,15;KG;31,91
2781;PF0P42593-TSU1;SER000281;ST4.81,6X16 LENT POZ COLAR ZN FE;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN FERRO PRETO + DSH + SELANTE - RA2;ROTATIVO II;2,65;KG;16,02
2807;PF0P42831-TSU1;SER000281;M6-1,0 X 14 LT TORX 88 ARR ZN IRI;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;5,75;KG;10,78
2819;PF0P42892-TSU1;SER000281;5-1,6X14,2 SD;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;COBREAGEM - RM;RM - COBRE;1,6;KG;3,18
2829;PF0P42941-TSU1;SER000281;TTIIM4-0,7X34 PAN TORX;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;FOSFATO DE ZINCO OLEADO;FOSFATO;3,05;KG;3,16
2834;PF0P42942-TSU1;SER000281;M6-1,0X16 SX 6.8 COBRE + ESTA;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ESTANHO COBRE - RM;RM - ESTANHO;4,9;KG;24,59
2839;PF0P42950-TSU1;SER000281;M6-1,0X25 (6G) R50 SOLDA OLEADO;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR - RM;RM - DECAPAR;6,7;KG;4,78
2843;PF0P42957-TSU1;SER000281;M5-0,8X16 BOTAO TORX 88 ZN;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN FERRO PRETO + SELANTE - RA2;ROTATIVO II;5,6;KG;18,9
2846;PF0P43002-TSU1;SER000281;M6-1,0X18SEXT5.8ZN;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN FERRO PRETO + SELANTE - RA2;ROTATIVO II;5,5;KG;18,63
2855;PF0P43098-TSU1;SER000281;M6 - 1X52 (6G) TORX EXT FLAN 88;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO II;12,5;KG;24,72
2858;PF0P43102-TSU1;SER000281;ST3.51.3X16 CIL SX INT AR ZN FE;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN FERRO PRETO + DSH + SELANTE - RA2;ROTATIVO II;2,15;KG;9,19
2861;PF0P43171-TSU1;SER000281;M6-1,0X20 CIL SX INT C ARR;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN FERRO PRETO + DSH + SELANTE - RA2;ROTATIVO II;7,45;KG;29,64
2865;PF0P43209-TSU1;SER000281;M6-1.00X24 CIL SX INT TRV 88;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;FOSFATO DE ZINCO OLEADO;FOSFATO;7,2;KG;7,52
2869;PF0P43236-TSU1;SER000281;M6-1X16 88 PAN TORX;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN NIQUEL INCOLOR + SELANTE - RA2;ROTATIVO II;4,7;KG;34,05
2877;PF0P43317-TSU1;SER000281;M6.1.0X20 CIL SX INT ARR 88;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN FERRO PRETO + DSH + SELANTE - RA2;ROTATIVO II;8,54;KG;34,05
2896;PF0P43342-TSU1;SER000281;M6-1,0X15 CL SD 8.8;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR - RM;RM - DECAPAR;5,4;KG;3,84
2900;PF0P43349-TSU1;SER200051;M6-1.0X16 CIL TORX 9.8 FOSF;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;FOSFATO DE ZINCO OLEADO;FOSFATO;6,1;KG;5,19
